date,BHG,ANH,CFR,BTI,GLN,PRX,AGL,ANG,GFI,NPN,CPI,FSR,SBK,MTN,VAL,VOD,S32,HAR,IMP,ABG,DSY,SHP,SLM,SOL,BID,NED,OUT,SSW,REM,NPH,NRP,INP,RNI,MNP,BVT,KIO,APN,PPH,PAN,OMU,GRT,QLT,PHP,MTM,CLS,SNT,HMN,RDF,MRP,EXX,NY1,TBS,KST,BOX,VKE,DRD,FFB,WHL,SRE,ARI,PMR,ADH,AVI,TKG,HYP,RES,DCP,BYI,NTC,DTC,GND,OMN,MTH,LTE,LHC,EQU,TFG,TRU,FTB,CML,TGA,PIK,MSP,SDO,JSE,ATT,HCI,WBC,PPC,AFE,SUI,AEL,SAC,RLO,SPP,OCE,SSS,BAT,BTN,SAP,RBX,WBO,ARL,KAP,BLU,SEA,SPG
2026-05-25,706.7,1370.0,3320.0,1068.0,127.03,767.69,863.28,1560.4,668.99,876.37,4479.67,92.07,318.35,210.33,1388.55,152.42,51.6,294.23,233.8,237.08,271.93,297.13,84.9,210.3,419.05,257.96,72.31,49.74,192.02,320.0,142.66,138.84,570.0,168.49,240.45,307.04,136.55,22.2,31.32,13.03,16.84,42.81,21.1,36.74,248.11,385.06,74.44,6.33,154.94,208.38,47.84,283.5,28.9,83.0,23.61,44.53,24.05,50.62,21.97,209.75,171.18,43.51,93.41,59.67,57.54,82.5,37.5,77.51,18.0,85.82,25.42,100.48,103.0,7.65,11.5,17.79,57.65,51.08,6.93,45.65,134.13,23.06,21.51,12.32,156.0,17.15,170.5,35.52,6.85,126.81,47.56,26.95,3.47,64.13,59.41,60.0,17.19,2.33,9.78,12.26,51.0,171.78,248.97,2.69,9.02,13.45,17.3
2026-05-26,706.23,1350.66,3278.3,1064.18,129.0,748.8,866.88,1561.14,663.71,855.0,4489.28,93.73,321.28,208.28,1370.22,151.97,54.65,291.61,233.37,238.64,272.95,295.81,85.88,222.6,414.0,260.51,71.63,49.25,192.86,320.92,143.53,141.13,575.49,166.64,237.02,316.85,136.36,21.83,31.0,13.07,17.0,42.91,20.65,36.64,246.41,381.46,74.85,6.38,156.52,212.14,48.09,284.43,28.39,81.69,23.64,43.83,24.14,50.39,21.88,209.89,171.52,43.8,94.5,59.46,57.68,82.96,37.65,78.44,17.68,79.0,25.81,101.31,103.09,7.65,11.3,18.05,57.96,50.87,7.01,43.66,145.74,21.36,21.52,12.33,153.5,17.01,179.99,35.38,6.94,125.42,47.59,29.05,3.49,64.53,58.99,59.6,17.1,2.32,9.79,12.5,52.64,169.1,253.95,2.73,8.8,13.62,17.12
2026-05-27,707.74,1370.93,3420.0,1049.03,126.12,745.88,862.71,1539.5,649.66,855.77,4507.01,94.14,321.97,210.0,1360.99,153.29,55.42,289.49,229.0,239.81,275.87,298.02,86.83,207.64,413.63,260.13,71.63,48.93,192.78,311.93,143.33,140.97,511.36,168.68,238.65,319.53,136.44,22.01,30.06,13.05,16.84,42.28,20.9,36.45,251.77,382.69,74.84,6.11,159.95,213.91,49.11,287.46,28.61,80.45,23.4,43.19,24.0,50.82,21.84,209.51,172.86,43.12,94.33,66.61,57.27,82.92,38.19,79.82,17.81,77.55,26.17,103.36,105.78,7.61,11.37,17.68,59.39,51.65,7.08,43.5,139.03,20.74,21.54,12.4,152.0,17.0,176.42,35.5,6.98,126.23,48.5,28.27,3.5,64.01,59.31,60.5,17.25,2.29,9.82,12.68,51.9,171.0,259.28,2.85,8.86,13.76,17.26
2026-05-28,713.13,1344.61,3439.99,1026.05,125.18,738.4,873.55,1534.3,649.11,848.92,4512.0,92.2,315.96,219.0,1352.77,154.0,54.99,297.9,232.34,237.54,274.5,293.89,86.3,206.75,407.77,260.37,71.14,49.41,191.15,315.6,143.19,140.5,505.59,164.52,237.41,330.0,134.75,21.99,30.01,12.86,16.81,41.84,20.74,36.27,243.26,378.96,75.7,6.12,158.87,213.32,47.31,282.8,28.13,80.0,23.45,43.04,24.27,50.2,21.78,210.57,171.48,43.21,94.71,64.88,57.33,82.92,37.93,78.56,17.75,76.06,26.3,102.99,103.76,7.64,10.74,17.68,57.9,51.75,7.22,42.78,140.5,20.19,21.84,12.17,152.3,17.02,175.49,35.26,6.9,126.19,48.63,30.0,3.47,64.2,57.13,60.5,17.24,2.28,9.87,13.19,51.69,167.88,250.61,2.85,9.34,13.63,17.1
2026-05-29,719.69,1306.49,3506.82,1003.15,125.63,735.57,875.33,1560.26,641.47,852.13,4460.11,92.38,314.4,216.8,1350.0,152.23,55.65,296.11,231.84,237.14,278.34,285.36,85.76,201.35,406.91,259.29,70.85,48.8,190.5,315.59,141.78,143.21,490.14,166.44,233.72,324.31,144.74,21.67,29.82,12.91,16.71,42.47,21.1,35.92,234.5,374.18,75.51,6.0,156.27,214.93,47.1,277.25,28.36,79.38,23.28,43.45,23.9,49.19,21.68,211.25,170.84,42.47,94.3,62.12,57.0,82.03,34.97,80.78,17.68,76.68,26.05,101.42,102.55,7.61,10.7,18.01,56.87,50.0,7.09,42.61,143.34,18.64,21.47,12.25,154.63,16.83,175.0,35.07,6.94,123.84,48.77,29.72,3.49,64.58,48.72,59.8,17.08,2.3,9.81,12.4,51.62,166.5,247.49,2.77,9.19,13.65,16.77
2026-06-01,726.27,1315.03,3410.0,1012.44,127.44,737.55,875.59,1454.8,605.72,838.53,4395.0,90.55,306.03,213.89,1304.13,150.3,55.11,280.01,222.69,229.46,272.51,282.53,83.45,210.17,400.0,252.8,69.19,46.7,187.19,303.47,140.05,140.66,488.18,161.36,232.15,313.12,144.03,20.93,25.01,12.68,16.4,41.98,20.12,37.17,235.46,365.0,74.13,5.93,150.41,219.24,46.39,283.5,28.25,75.86,23.1,41.58,23.61,48.09,21.6,206.14,170.58,42.44,92.13,61.88,55.6,80.9,34.02,85.0,16.95,76.83,26.0,101.6,102.48,7.47,10.57,17.55,55.21,49.64,7.01,42.04,151.83,18.21,21.2,12.4,148.72,16.78,175.5,35.07,6.77,118.8,47.48,28.8,3.47,61.66,49.26,59.68,17.03,2.27,9.74,11.94,50.78,166.05,240.15,2.8,9.0,14.05,16.8
2026-06-02,757.76,1315.03,3435.0,965.1,133.98,796.98,920.95,1480.0,621.97,924.77,4377.08,90.57,306.68,215.15,1325.0,150.9,56.3,287.1,228.09,229.1,269.05,285.05,82.2,213.22,414.36,253.88,68.42,48.49,187.97,308.41,139.45,142.78,480.07,161.64,230.47,319.31,144.27,20.64,24.88,12.81,16.2,42.02,20.37,36.3,236.74,363.81,74.13,5.84,148.0,225.58,46.41,280.0,28.31,76.56,23.16,42.1,23.6,48.46,21.49,209.53,171.95,43.38,92.9,62.88,55.33,80.37,32.35,83.57,17.05,79.31,25.79,103.45,101.0,7.35,10.6,17.5,55.39,50.0,6.96,42.15,149.19,19.18,21.17,12.28,147.5,16.61,177.62,34.51,6.94,121.3,47.71,28.41,3.46,61.94,50.03,60.29,16.88,2.23,9.69,12.27,51.51,166.56,240.35,2.8,8.74,14.05,16.75
2026-06-03,743.89,1301.53,3406.75,962.02,133.79,762.18,901.49,1488.94,625.67,889.64,4315.96,90.09,304.39,215.2,1300.0,150.5,56.77,282.52,219.81,226.98,268.57,287.71,81.79,221.14,413.5,254.8,68.79,46.58,187.09,297.46,139.96,140.4,479.28,162.5,234.3,313.73,145.5,20.8,24.8,12.86,16.15,41.43,20.04,36.41,234.49,364.97,72.8,5.88,148.5,225.9,44.41,282.85,28.38,76.52,23.0,41.79,23.33,48.71,21.02,203.92,169.29,42.53,92.56,58.37,55.4,79.83,32.5,81.23,16.88,79.04,26.31,102.96,99.7,7.32,10.28,16.76,56.91,50.88,7.12,41.85,154.98,19.25,20.75,11.6,146.0,16.58,177.99,34.06,6.84,119.9,47.8,27.98,3.4,60.14,51.0,60.49,16.89,2.24,9.5,12.15,49.85,165.71,240.0,2.81,8.62,13.51,16.75
2026-06-04,722.4,1286.4,3385.37,942.5,133.15,756.78,889.83,1478.67,622.23,870.0,4294.11,90.93,306.0,214.46,1293.17,152.23,55.5,279.32,217.01,228.94,266.25,285.7,83.65,214.5,412.5,254.81,68.86,45.57,186.0,297.84,138.69,139.97,477.01,163.92,232.67,308.93,146.5,20.7,24.65,12.84,16.27,41.6,20.13,37.48,235.18,362.2,72.54,5.89,150.0,227.5,46.38,281.05,28.75,76.51,23.16,41.42,23.38,48.86,21.25,201.3,170.0,42.93,93.46,58.65,55.64,79.65,32.5,83.12,16.98,78.13,26.0,102.24,99.72,7.4,10.35,16.85,55.68,50.93,7.23,42.32,149.75,19.26,20.69,11.41,148.0,16.69,175.0,34.5,6.84,116.49,49.08,28.2,3.4,59.04,51.0,61.0,16.87,2.25,9.5,11.96,50.4,167.59,239.11,2.79,8.55,13.47,17.01
2026-06-05,695.31,1288.53,3415.2,966.6,130.14,767.36,862.0,1405.5,605.7,883.0,4352.08,90.99,306.98,211.74,1183.66,150.68,53.64,263.0,200.68,233.2,266.26,284.9,84.3,228.05,412.5,254.77,68.9,42.52,185.22,277.91,137.9,138.0,481.03,164.22,232.0,300.0,144.74,21.34,23.6,12.9,16.19,42.12,20.84,37.36,235.0,363.0,72.95,5.85,172.0,222.68,46.33,284.15,28.55,77.55,22.9,39.68,23.0,49.1,21.3,192.95,170.15,43.23,93.65,58.64,54.92,79.02,32.72,83.0,16.97,77.11,25.72,101.5,99.52,7.37,10.13,16.47,57.87,52.13,7.3,42.16,153.5,19.33,20.76,11.57,149.25,16.65,174.68,34.94,6.92,115.5,50.07,27.91,3.38,58.98,51.0,62.0,16.8,2.23,9.45,12.2,50.41,168.94,234.0,2.8,8.46,13.38,17.29
2026-06-08,696.36,1290.0,3433.54,987.74,130.55,758.45,854.65,1385.64,593.41,883.96,4342.21,91.11,311.61,213.92,1167.7,150.23,53.7,255.0,189.81,234.62,270.94,287.68,84.72,223.74,421.0,256.19,70.37,40.8,186.97,265.85,138.75,138.46,472.23,164.6,232.0,306.12,145.64,21.35,23.63,13.31,16.35,41.88,19.74,37.55,238.61,375.0,72.14,5.87,169.46,220.0,46.3,292.52,29.4,77.2,22.97,39.33,23.11,50.15,21.0,185.48,172.33,43.34,96.21,58.6,55.5,79.85,32.75,82.9,16.93,77.96,25.8,104.86,102.12,7.3,10.17,16.64,59.61,53.04,7.36,42.5,152.34,19.4,20.54,11.51,151.41,16.69,175.36,34.68,7.2,119.81,51.91,28.0,3.4,58.07,51.48,62.49,17.0,2.23,9.49,11.41,50.41,168.59,237.35,2.79,8.57,13.3,17.94
2026-06-09,691.46,1330.45,3479.17,980.62,126.4,765.36,842.5,1393.5,582.5,889.99,4423.43,91.64,313.93,213.92,1181.4,148.68,52.9,247.5,190.0,236.52,276.09,285.79,85.25,224.47,417.5,257.54,70.73,39.66,185.62,262.91,140.59,138.72,466.77,162.41,233.25,296.72,146.0,21.09,23.73,13.25,16.65,41.56,21.0,38.43,233.86,382.13,73.34,5.92,164.22,216.0,46.58,288.94,29.11,77.83,23.15,38.54,23.59,50.06,21.44,181.87,168.04,43.16,95.31,58.42,56.4,80.74,32.5,83.0,16.76,77.49,25.97,106.21,101.94,7.3,10.23,16.84,57.07,53.14,7.39,42.2,140.6,19.35,20.44,11.59,151.59,16.86,174.12,34.61,7.25,121.02,51.94,28.3,3.48,58.71,51.85,63.03,16.9,2.22,9.57,11.35,50.88,172.0,240.0,2.77,8.55,13.38,18.17
2026-06-10,696.57,1347.6,3488.37,1003.5,125.35,766.19,824.75,1311.8,557.86,886.0,4370.26,91.51,311.28,214.46,1123.63,147.99,52.01,240.86,179.62,232.0,275.36,290.0,84.5,225.5,417.54,254.92,70.56,38.56,183.92,246.47,140.48,138.15,464.17,158.8,230.96,287.37,145.49,20.96,22.63,13.12,16.52,41.25,20.35,38.26,235.24,378.51,75.22,5.88,163.61,212.03,45.89,287.65,28.85,78.29,23.2,37.02,23.54,50.02,21.59,167.09,169.84,43.11,94.53,58.65,56.6,81.54,32.69,82.99,16.6,76.7,25.88,107.4,101.45,7.4,10.19,17.0,57.58,52.69,7.45,38.76,134.06,19.06,20.56,11.4,152.0,16.86,172.83,35.17,7.44,121.65,51.6,28.11,3.51,57.83,54.9,63.6,17.02,2.22,9.58,11.04,50.0,168.5,229.21,2.72,8.45,13.36,18.3
2026-06-11,704.31,1354.6,3603.7,1011.59,126.0,750.0,835.5,1298.14,565.95,860.04,4397.07,91.96,312.39,223.98,1136.0,151.14,51.66,240.17,182.05,235.1,278.34,293.56,86.4,228.34,429.4,257.84,71.97,38.31,187.34,248.04,141.99,138.33,464.58,155.69,232.42,286.51,144.38,21.12,23.17,13.27,16.73,41.41,20.3,38.71,234.67,382.94,74.6,5.85,165.55,212.53,45.78,289.03,29.03,79.07,23.25,36.65,23.69,50.75,21.51,175.13,175.24,42.43,95.79,59.85,57.2,81.58,33.66,79.8,16.62,77.58,25.8,110.47,107.1,7.39,10.2,17.0,58.42,53.59,7.44,38.61,127.2,19.8,20.36,11.45,154.0,16.87,174.21,34.76,8.0,121.97,52.17,27.2,3.46,57.48,51.24,63.98,17.07,2.24,9.55,10.98,50.03,170.0,230.63,2.83,8.56,13.15,18.18
2026-06-12,729.12,1343.2,3646.23,1014.07,129.01,745.0,875.14,1392.62,590.07,855.92,4487.5,94.45,320.61,225.05,1196.0,150.51,53.55,257.18,197.28,240.0,283.01,294.9,88.04,213.57,432.95,260.5,73.8,39.86,188.24,259.49,142.0,140.76,467.88,156.93,238.4,305.19,146.49,22.04,23.96,13.53,16.97,42.19,20.04,39.06,235.37,393.36,74.51,5.98,169.41,215.72,46.18,293.84,29.59,79.5,23.49,38.3,23.91,51.7,21.54,186.96,177.99,43.5,97.37,60.84,57.11,82.03,33.54,78.15,16.84,78.99,25.82,111.65,110.8,7.36,10.27,17.0,63.37,55.28,7.39,40.0,133.66,20.53,20.73,11.4,158.0,16.88,174.0,35.14,8.31,122.52,54.6,29.98,3.44,59.0,52.13,64.58,17.13,2.25,9.63,11.0,50.61,171.97,228.34,2.75,8.63,13.17,18.53
2026-06-15,743.5,1335.92,3688.07,1004.01,125.5,746.56,883.0,1503.1,644.37,862.86,4569.37,95.62,323.58,226.68,1312.55,150.59,51.52,286.0,219.0,244.11,285.55,292.61,89.44,187.36,429.66,268.0,75.57,43.42,190.27,281.81,143.72,139.9,464.5,159.89,242.1,307.66,145.0,22.97,25.5,13.69,17.3,42.13,21.1,39.63,234.03,400.13,75.62,6.25,172.22,212.88,46.24,293.43,29.97,79.26,24.35,41.08,25.08,52.49,21.45,197.18,181.7,43.6,97.98,61.0,58.55,83.63,33.56,78.01,17.25,82.39,26.31,111.45,110.56,7.48,10.51,17.21,63.97,55.82,7.41,41.25,125.86,20.21,20.77,11.4,161.08,17.73,173.99,34.9,8.22,122.43,55.28,30.05,3.55,60.35,52.29,64.93,17.39,2.26,9.7,11.59,51.47,175.5,229.5,2.75,8.65,13.3,18.75
2026-06-17,749.59,1327.92,3693.84,971.59,126.94,729.12,892.9,1548.68,664.4,840.0,4641.55,97.7,331.73,227.78,1293.55,145.66,51.43,289.87,213.5,246.29,285.13,294.98,91.11,179.9,429.07,272.9,76.2,43.14,191.24,280.63,144.28,137.0,458.38,158.04,243.14,307.42,146.75,22.95,25.49,13.7,17.34,41.8,20.0,40.08,233.25,400.8,75.17,6.34,174.1,215.03,46.62,290.63,30.16,80.55,24.25,41.38,25.25,52.9,21.12,195.03,186.97,43.5,98.1,60.6,58.34,82.73,32.78,76.71,17.26,83.68,26.89,109.27,110.49,7.45,10.07,17.4,66.4,56.29,7.42,41.63,120.8,20.6,20.77,11.41,160.5,17.85,171.37,34.81,8.28,122.1,55.0,28.45,3.6,59.58,51.43,66.33,16.7,2.3,9.78,11.04,51.38,174.5,230.0,2.85,8.46,13.36,18.98
2026-06-18,724.8,1332.06,3780.0,958.0,123.86,740.97,872.5,1484.31,639.42,845.0,4698.95,98.05,334.48,227.14,1265.21,147.2,49.33,282.32,198.84,249.61,282.52,298.12,89.82,177.33,429.44,276.84,76.67,40.1,191.32,269.73,144.0,136.3,453.0,157.5,242.11,302.07,148.07,22.66,24.41,13.65,17.4,41.77,19.95,40.57,235.31,397.48,75.45,6.42,175.05,213.94,46.46,287.38,30.5,83.5,24.35,39.6,25.13,52.7,21.3,187.21,185.0,43.6,98.09,60.4,58.6,83.44,32.84,77.0,17.56,84.98,26.6,108.39,110.27,7.45,10.28,17.44,66.46,56.73,7.53,41.3,119.0,20.46,20.77,11.8,161.0,17.7,169.5,35.09,8.14,119.91,54.0,27.39,3.59,58.97,51.37,66.2,16.75,2.08,9.79,11.2,51.18,170.0,230.55,2.8,8.5,13.5,18.87
2026-06-19,689.0,1335.7,3755.0,943.0,121.5,732.8,841.3,1336.21,555.81,828.84,4762.67,98.88,335.27,230.68,1154.47,147.4,48.52,261.39,179.99,252.86,287.52,299.0,90.27,186.36,434.28,281.46,77.62,36.88,194.81,249.28,144.93,135.55,475.0,158.0,246.31,299.14,154.25,22.7,23.1,13.68,17.71,40.56,19.8,40.65,242.94,398.33,75.6,6.43,175.49,218.65,46.14,292.09,30.31,85.4,24.76,36.38,25.15,53.21,21.24,180.68,190.5,44.5,99.64,61.12,59.57,83.7,34.12,80.28,17.94,89.97,26.8,108.39,111.0,7.44,10.48,17.21,66.09,57.37,7.52,41.07,124.25,20.99,21.48,12.14,162.0,17.62,169.5,35.95,8.28,121.77,53.29,28.17,3.54,59.26,53.0,67.11,16.7,2.16,9.77,10.99,51.0,172.0,235.0,2.82,8.62,13.5,18.93
